	PLAYER_ID	PLAYER_NAME	0	1	rank
0	708	Kevin Garnett	61.0	54	0
1	977	Kobe Bryant	715.0	398	1
2	1495	Tim Duncan	226.0	215	2
4	1717	Dirk Nowitzki	614.0	498	4
5	1718	Paul Pierce	251.0	143	5
10	1897	Metta World Peace	122.0	55	10
11	1938	Manu Ginobili	238.0	197	11
13	2037	Jamal Crawford	557.0	378	13
14	2199	Tyson Chandler	131.0	183	14
15	2200	Pau Gasol	528.0	467	15
16	2207	Joe Johnson	482.0	377	16
17	2210	Richard Jefferson	168.0	143	17
18	2216	Zach Randolph	476.0	431	18
19	2225	Tony Parker	360.0	350	19
23	2403	Nene	175.0	209	23
27	2440	Matt Barnes	429.0	263	27
28	2449	Luis Scola	328.0	269	28
29	2544	LeBron James	678.0	737	29
30	2546	Carmelo Anthony	740.0	567	30
31	2547	Chris Bosh	409.0	358	31
32	2548	Dwyane Wade	643.0	540	32
34	2550	Kirk Hinrich	80.0	49	34
35	2555	Nick Collison	59.0	50	35
36	2561	David West	204.0	244	36
38	2564	Boris Diaw	181.0	202	38
40	2571	Leandro Barbosa	199.0	171	40
41	2581	Steve Blake	147.0	93	41
42	2585	Zaza Pachulia	251.0	219	42
44	2590	Mo Williams	170.0	132	44
46	2594	Kyle Korver	349.0	267	46
48	2730	Dwight Howard	228.0	372	48
49	2733	Shaun Livingston	176.0	203	49
50	2734	Devin Harris	207.0	166	50
51	2736	Luol Deng	406.0	338	51
52	2738	Andre Iguodala	192.0	176	52
53	2743	Kris Humphries	174.0	121	53
54	2744	Al Jefferson	260.0	245	54
55	2746	Josh Smith	222.0	127	55
56	2747	JR Smith	497.0	352	56
57	2749	Jameer Nelson	194.0	113	57
58	2754	Tony Allen	254.0	215	58
59	2755	Kevin Martin	262.0	156	59
60	2756	Sasha Vujacic	171.0	106	60
62	2772	Trevor Ariza	502.0	357	62
63	101106	Andrew Bogut	104.0	175	63
64	101107	Marvin Williams	408.0	338	64
65	101108	Chris Paul	598.0	515	65
66	101109	Raymond Felton	405.0	277	66
67	101111	Charlie Villanueva	202.0	124	67
68	101112	Channing Frye	195.0	152	68
69	101114	Deron Williams	454.0	321	69
70	101123	Gerald Green	357.0	229	70
71	101127	Jarrett Jack	218.0	140	71
72	101133	Ian Mahinmi	184.0	264	72
73	101135	David Lee	157.0	178	73
74	101138	Brandon Bass	143.0	174	74
75	101139	CJ Miles	375.0	259	75
76	101141	Ersan Ilyasova	381.0	280	76
77	101145	Monta Ellis	582.0	433	77
78	101150	Lou Williams	410.0	281	78
79	101161	Amir Johnson	177.0	249	79
80	101162	Marcin Gortat	331.0	433	80
82	101181	Jose Calderon	246.0	209	82
84	200746	LaMarcus Aldridge	509.0	536	84
85	200751	Randy Foye	313.0	169	85
86	200752	Rudy Gay	541.0	466	86
87	200755	JJ Redick	453.0	419	87
88	200757	Thabo Sefolosha	183.0	188	88
89	200765	Rajon Rondo	427.0	355	89
90	200768	Kyle Lowry	683.0	512	90
93	200782	PJ Tucker	343.0	239	93
94	200794	Paul Millsap	565.0	501	94
95	200811	Lou Amundson	34.0	19	95
96	200826	J.J. Barea	394.0	317	96
97	201142	Kevin Durant	683.0	698	97
98	201143	Al Horford	519.0	529	98
99	201144	Mike Conley	402.0	294	99
100	201145	Jeff Green	469.0	354	100
101	201147	Corey Brewer	338.0	212	101
103	201149	Joakim Noah	82.0	51	103
104	201150	Spencer Hawes	182.0	124	104
105	201152	Thaddeus Young	468.0	495	105
106	201155	Rodney Stuckey	260.0	182	106
107	201156	Nick Young	243.0	126	107
108	201158	Marco Belinelli	390.0	245	108
109	201160	Jason Smith	259.0	244	109
110	201162	Jared Dudley	254.0	233	110
111	201166	Aaron Brooks	281.0	188	111
112	201167	Arron Afflalo	443.0	354	112
113	201168	Tiago Splitter	74.0	81	113
116	201188	Marc Gasol	379.0	328	116
117	201196	Ramon Sessions	311.0	280	117
120	201229	Anthony Tolliver	203.0	128	120
122	201564	O.J. Mayo	197.0	119	122
123	201565	Derrick Rose	601.0	447	123
124	201566	Russell Westbrook	788.0	656	124
125	201567	Kevin Love	568.0	408	125
126	201568	Danilo Gallinari	413.0	287	126
127	201569	Eric Gordon	320.0	231	127
128	201571	D.J. Augustin	202.0	147	128
129	201572	Brook Lopez	566.0	591	129
132	201575	Brandon Rush	149.0	110	132
133	201577	Robin Lopez	305.0	357	133
134	201578	Marreese Speights	259.0	197	134
135	201579	Roy Hibbert	229.0	182	135
136	201580	JaVale McGee	57.0	77	136
137	201581	JJ Hickson	75.0	80	137
138	201582	Alexis Ajinca	165.0	150	138
139	201583	Ryan Anderson	532.0	397	139
140	201584	Courtney Lee	349.0	290	140
141	201585	Kosta Koufos	208.0	236	141
142	201586	Serge Ibaka	453.0	416	142
143	201587	Nicolas Batum	501.0	372	143
144	201588	George Hill	411.0	325	144
145	201589	Darrell Arthur	268.0	221	145
147	201599	DeAndre Jordan	151.0	357	147
148	201600	Omer Asik	91.0	104	148
149	201601	Luc Mbah a Moute	111.0	93	149
150	201609	Goran Dragic	458.0	417	150
152	201627	Anthony Morrow	197.0	136	152
153	201933	Blake Griffin	302.0	301	153
154	201935	James Harden	907.0	710	154
155	201936	Tyreke Evans	178.0	136	155
156	201937	Ricky Rubio	367.0	218	156
157	201939	Stephen Curry	793.0	805	157
158	201941	Jordan Hill	271.0	278	158
159	201942	DeMar DeRozan	762.0	614	159
